Sample	mRNAsi
MMRF_2531_1_BM_CD138pos_T3_TSMRU_L12425	0.602048531254012
MMRF_1335_1_BM_CD138pos_T1_TSMRU_L13123	0.718880398532439
MMRF_1371_1_BM_CD138pos_T3_TSMRU_L00809	0.663399021790379
MMRF_2113_1_BM_CD138pos_T2_TSMRU_L08157	0.426979625209889
MMRF_1671_1_BM_CD138pos_T2_TSMRU_L04237	0.592415025518091
MMRF_2636_1_BM_CD138pos_T2_TSMRU_L13107	0.352376520843608
MMRF_1426_1_BM_CD138pos_T3_TSMRU_L01323	0.482178573753384
MMRF_2050_1_BM_CD138pos_T2_TSMRU_L08171	0.532582661021396
MMRF_1596_1_BM_CD138pos_T3_TSMRU_L03465	0.77550277979282
MMRF_1654_1_BM_CD138pos_T2_TSMRU_L05336	0.50297197190626
MMRF_2622_1_BM_CD138pos_T2_TSMRU_L12454	0.371943564851804
MMRF_2808_1_BM_CD138pos_T2_TSMRU_L16040	0.467536832983406
MMRF_1346_1_BM_CD138pos_T1_TSMRU_L13124	0.483399069905503
MMRF_2404_1_BM_CD138pos_T3_TSMRU_L10285	0.8743586875714
MMRF_1523_1_BM_CD138pos_T3_TSMRU_L04980	0.576455623551533
MMRF_2468_1_BM_CD138pos_T2_TSMRU_L12436	0.431927928671862
MMRF_1451_1_BM_CD138pos_T3_TSMRU_L01335	0.48236708258277
MMRF_2490_1_BM_CD138pos_T2_TSMRU_L11538	0.868738791592525
MMRF_1780_1_BM_CD138pos_T2_TSMRU_L05989	0.678835931476604
MMRF_1916_1_BM_CD138pos_T3_TSMRU_L07180	0.597711185584272
MMRF_1865_1_BM_CD138pos_T2_TSMRU_L05342	0.458868705945249
MMRF_1348_1_BM_CD138pos_T3_TSMRU_L01043	0.429714213422006
MMRF_1854_1_BM_CD138pos_T2_TSMRU_L05322	0.692875791626116
MMRF_1928_1_BM_CD138pos_T2_TSMRU_L06647	0.502011802030104
MMRF_1148_1_BM_CD138pos_T3_TSMRU_L01344	0.613835026828133
MMRF_1520_1_BM_CD138pos_T2_TSMRU_L05319	0.551844732697053
MMRF_1073_1_BM_CD138pos_T2_TSMRU_L08156	0.513318404471083
MMRF_1777_1_BM_CD138pos_T3_TSMRU_L04992	0.571296859451619
MMRF_1598_1_BM_CD138pos_T2_TSMRU_L03886	0.537898378345038
MMRF_1284_1_BM_CD138pos_T3_TSMRU_L01044	0.375382183178766
MMRF_2567_1_BM_CD138pos_T2_TSMRU_L12690	0.478481428220494
MMRF_1252_1_BM_CD138pos_T2_TSMRU_L00030	0.512207425285879
MMRF_2293_1_BM_CD138pos_T3_TSMRU_L10272	0.588394634071913
MMRF_1879_1_BM_CD138pos_T2_TSMRU_L05344	0.424116300430253
MMRF_1652_1_BM_CD138pos_T2_TSMRU_L04232	0.727457715167634
MMRF_1782_1_BM_CD138pos_T3_TSMRU_L04994	0.503586321510699
MMRF_1546_1_BM_CD138pos_T2_TSMRU_L12455	0.780117808468747
MMRF_2082_1_BM_CD138pos_T3_TSMRU_L07653	0.572411313742227
MMRF_2608_1_BM_CD138pos_T2_TSMRU_L12670	0.635613471918751
MMRF_2739_1_BM_CD138pos_T2_TSMRU_L15000	0.970647938855763
MMRF_2740_1_BM_CD138pos_T2_TSMRU_L14994	0.375641290176334
MMRF_1229_1_BM_CD138pos_T2_TSMRU_K03528	0.602380600672065
MMRF_2549_1_BM_CD138pos_T2_TSMRU_L12439	0.649534342244583
MMRF_1735_1_BM_CD138pos_T2_TSMRU_L04574	0.599668487661994
MMRF_2760_1_BM_CD138pos_T2_TSMRU_L16016	0.646628644526779
MMRF_2634_1_BM_CD138pos_T2_TSMRU_L12698	0.343555707794026
MMRF_1682_1_BM_CD138pos_T2_TSMRU_L05338	0.478927518537901
MMRF_1918_1_BM_CD138pos_T3_TSMRU_L07170	0.644831226075924
MMRF_2848_1_BM_CD138pos_T3_TSMRU_L16380	0.247281527299455
MMRF_2379_1_BM_CD138pos_T3_TSMRU_L10068	0.506217743903755
MMRF_2253_1_BM_CD138pos_T3_TSMRU_L08459	0.643094376557248
MMRF_2456_1_BM_CD138pos_T2_TSMRU_L11504	0.520973850881906
MMRF_2641_1_BM_CD138pos_T2_TSMRU_L13111	0.416917344233682
MMRF_2013_1_BM_CD138pos_T2_TSMRU_L08168	0.558486865270092
MMRF_2651_1_BM_CD138pos_T2_TSMRU_L13880	0.394522434908728
MMRF_1715_1_BM_CD138pos_T2_TSMRU_L04586	0.617303298737061
